Real Madrid,ESP,1,4,0,RMA
Manchester City,ENG,1,0,0,MCI 
Bayern MÃ¼nchen,GER,1,1,2,BAY
Paris,FRA,1,0,3,PSG
Liverpool,ENG,1,1,0,LIV
Inter,ITA,1,2,1,INT
B. Dortmund,GER,1,2,2,DOR
Leipzig,GER,1,3,2,LEI
Barcelona,ESP,1,5,0,BAR
Leverkusen,GER,2,4,2,LEV
Atleti,ESP,2,0,1,ATM
Atalanta,ITA,2,5,1,ATA
Juventus,ITA,2,4,1,JUV
Benfica,POR,2,4,3,BEN
Arsenal,ENG,2,2,0,ARS
Club Brugge,BEL,2,2,4,BRU
Shakhtar,UKR,2,4,5,SHK
Milan,ITA,2,3,1,MIL
Feyenoord,NED,3,1,4,FEY
Sporting CP,POR,3,5,3,SPO
PSV,NED,3,0,4,PSV
GNK Dinamo,CRO,3,2,5,DZA
Salzburg,AUT,3,5,4,SAL
Lille,FRA,3,3,3,LIL
Crvena Zvezda,SRB,3,3,5,ZVE
Young Boys,SUI,3,4,4,YB
Celtic,SCO,3,1,5,CEL
S. Bratislava,SVK,4,5,5,SLB
Monaco,FRA,4,1,3,MON
Sparta Praha,CZE,4,3,4,SPA
Aston Villa,ENG,4,3,0,AVL
Bologna,ITA,4,0,2,BOL
Girona,ESP,4,1,1,GIR
Stuttgart,GER,4,5,2,STU
Sturm Graz,AUT,4,0,5,SGR
Brest,FRA,4,2,3,BRE